"Push Notifications","Push Bildirimleri"
"List Notification Tokens","Bildirim Token'larını Listele"
"Send Single Notification","Tekil Bildirim Gönder"
"Send Multiple Notifications","Toplu Bildirim Gönder"
"Notification Tokens","Bildirim Token'ları"
"Token","Token"
"Device Type","Cihaz Tipi"
"Device Model","Cihaz Modeli"
"Customer Email","Müşteri E-posta"
"Is Active","Aktif mi"
"Last Seen","Son Görülme"
"Created At","Oluşturulma Tarihi"
"Add New Token","Yeni Token Ekle"
"Select Customer","Müşteri Seç"
"Title","Başlık"
"Message","Mesaj"
"Image URL (Optional)","Resim URL (İsteğe Bağlı)"
"Action URL (Optional)","İşlem URL (İsteğe Bağlı)"
"Notification Type","Bildirim Tipi"
"General","Genel"
"Promotion","Promosyon"
"Order","Sipariş"
"News","Haber"
"Send Notification","Bildirim Gönder"
"Notification sent successfully!","Bildirim başarıyla gönderildi!"
"Error: ","Hata: "
"An error occurred while sending the notification.","Bildirim gönderilirken bir hata oluştu."
"User Type","Kullanıcı Tipi"
"All Users","Tüm Kullanıcılar"
"Member Users Only","Sadece Üye Kullanıcılar"
"Guest Users Only","Sadece Misafir Kullanıcılar"
"All Devices","Tüm Cihazlar"
"iOS Only","Sadece iOS"
"Android Only","Sadece Android"
"Customer Group","Müşteri Grubu"
"All Groups","Tüm Gruplar"
"Last Seen From","Son Görülme Başlangıç"
"Last Seen To","Son Görülme Bitiş"
"Total sent: ","Toplam gönderilen: "
"Firebase Configuration","Firebase Yapılandırması"
"Enable Push Notifications","Push Bildirimlerini Etkinleştir"
"Firebase Server Key","Firebase Sunucu Anahtarı"
"Enter your Firebase Cloud Messaging server key","Firebase Cloud Messaging sunucu anahtarınızı girin"
"Firebase Project ID","Firebase Proje ID"
"Enter your Firebase project ID","Firebase proje ID'nizi girin"
"General Settings","Genel Ayarlar"
"Max Tokens Per Request","İstek Başına Maksimum Token"
"Maximum number of tokens to send in a single Firebase request (max 1000)","Tek bir Firebase isteğinde gönderilecek maksimum token sayısı (maks 1000)"
"Default Notification Sound","Varsayılan Bildirim Sesi"
"Default sound for notifications (e.g., \"default\")","Bildirimler için varsayılan ses (örn. \"default\")"
"Token registered successfully","Token başarıyla kaydedildi"
"Token updated successfully","Token başarıyla güncellendi"
"Token unregistered successfully","Token başarıyla kaldırıldı"
"Token not found","Token bulunamadı"
"Token is required","Token gereklidir"
"Device type is required","Cihaz tipi gereklidir"
"Input is required","Giriş gereklidir"
"No active tokens found","Aktif token bulunamadı"
"Notification sent successfully","Bildirim başarıyla gönderildi"
"Failed to send notification","Bildirim gönderilemedi"
"Firebase server key not configured","Firebase sunucu anahtarı yapılandırılmamış"
"Invalid response from Firebase","Firebase'den geçersiz yanıt"

